x, f_1, f_2
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00
1.001001001001000992e-02,1.999749506360645634e+00,1.407436580139267762e-03
2.002002002002001985e-02,1.998998110777984838e+00,3.069640947755634171e-03
3.003003003003002977e-02,1.997746069225533105e+00,4.843845094077803108e-03
4.004004004004003969e-02,1.995993808216854237e+00,6.694934380066858669e-03
5.005005005005004615e-02,1.993741924642162378e+00,8.605380722240528815e-03
6.006006006006005954e-02,1.990991185539657149e+00,1.056450106184903329e-02
7.007007007007007293e-02,1.987742527801679593e+00,1.256504734742919065e-02
8.008008008008007939e-02,1.983997057815807263e+00,1.460175542229878547e-02
9.009009009009008584e-02,1.979756051041029252e+00,1.667061637200016599e-02
1.001001001001000923e-01,1.975020951519172563e+00,1.876846844026367270e-02
1.101101101101101126e-01,1.969793371321767017e+00,2.089274988635841934e-02
1.201201201201201191e-01,1.964075089932574958e+00,2.304134019939339459e-02
1.301301301301301394e-01,1.957868053566024891e+00,2.521245324005398289e-02
1.401401401401401459e-01,1.951174374421820845e+00,2.740456258735323239e-02
1.501501501501501523e-01,1.943996329876025886e+00,2.961634775044136303e-02
1.601601601601601588e-01,1.936336361608932854e+00,3.184665439700735956e-02
1.701701701701701652e-01,1.928197074670076727e+00,3.409446428964262726e-02
1.801801801801801717e-01,1.919581236480752073e+00,3.635887212392444751e-02
1.901901901901901781e-01,1.910491775774432188e+00,3.863906738535146518e-02
2.002002002002001846e-01,1.900931781475513560e+00,4.093431992878276277e-02
2.102102102102102188e-01,1.890904501516824432e+00,4.324396836742562533e-02
2.202202202202202252e-01,1.880413341596369525e+00,4.556741061543007759e-02
2.302302302302302317e-01,1.869461863873800311e+00,4.790409610433477017e-02
2.402402402402402382e-01,1.858053785607131303e+00,5.025351931681869277e-02
2.502502502502502724e-01,1.846192977730237050e+00,5.261521436893542431e-02
2.602602602602602788e-01,1.833883463371699385e+00,5.498875043548019648e-02
2.702702702702702853e-01,1.821129416315583338e+00,5.737372785974896583e-02
2.802802802802802917e-01,1.807935159404761238e+00,5.976977482363544231e-02
2.902902902902902982e-01,1.794305162887408489e+00,6.217654448014526408e-02
3.003003003003003046e-01,1.780244042707331165e+00,6.459371247031923946e-02
3.103103103103103111e-01,1.765756558738799331e+00,6.702097476188918768e-02
3.203203203203203175e-01,1.750847612966587974e+00,6.945804575890911214e-02
3.303303303303303240e-01,1.735522247611944291e+00,7.190465664095344045e-02
3.403403403403403304e-01,1.719785643205221426e+00,7.436055389786955239e-02
3.503503503503503369e-01,1.703643116605948027e+00,7.682549803196625504e-02
3.603603603603603434e-01,1.687100118971109453e+00,7.929926240425377859e-02
3.703703703703703498e-01,1.670162233672451979e+00,8.178163220517720156e-02
3.803803803803803563e-01,1.652835174163629350e+00,8.427240353339945922e-02
3.903903903903903627e-01,1.635124781798039439e+00,8.677138256873856426e-02
4.004004004004003692e-01,1.617037023598213219e+00,8.927838482746232318e-02
4.104104104104104311e-01,1.598577989977638669e+00,9.179323448988045697e-02
4.204204204204204376e-01,1.579753892415923122e+00,9.431576379161887846e-02
4.304304304304304440e-01,1.560571061088212197e+00,9.684581247116903768e-02
4.404404404404404505e-01,1.541035942449802576e+00,9.938322726731889378e-02
4.504504504504504570e-01,1.521155096776910964e+00,1.019278614609279987e-01
4.604604604604604634e-01,1.500935195664562016e+00,1.044795744562334178e-01
4.704704704704704699e-01,1.480383019482593987e+00,1.070382313974891364e-01
4.804804804804804763e-01,1.459505454790787304e+00,1.096037028172673622e-01
4.904904904904904828e-01,1.438309491714131250e+00,1.121758643132003963e-01
5.005005005005005447e-01,1.416802221279279683e+00,1.147545962503285222e-01
5.105105105105105512e-01,1.394990832713238316e+00,1.173397834865530093e-01
5.205205205205205576e-01,1.372882610705358664e+00,1.199313151189824178e-01
5.305305305305305641e-01,1.350484932633717605e+00,1.225290842492097187e-01
5.405405405405405705e-01,1.327805265756984099e+00,1.251329877657767486e-01
5.505505505505505770e-01,1.304851164372879513e+00,1.277429261422715623e-01
5.605605605605605835e-01,1.281630266944356888e+00,1.303588032496713622e-01
5.705705705705705899e-01,1.258150293194635339e+00,1.329805261816887352e-01
5.805805805805805964e-01,1.234419041172239107e+00,1.356080050920074886e-01
5.905905905905906028e-01,1.210444384287199471e+00,1.382411530424077772e-01
6.006006006006006093e-01,1.186234268319594332e+00,1.408798858608788229e-01
6.106106106106106157e-01,1.161796708401603873e+00,1.435241220089072123e-01
6.206206206206206222e-01,1.137139785974279560e+00,1.461737824572064692e-01
6.306306306306306286e-01,1.112271645720226410e+00,1.488287905692228241e-01
6.406406406406406351e-01,1.087200492473409774e+00,1.514890719918153827e-01
6.506506506506506415e-01,1.061934588107312560e+00,1.541545545525628835e-01
6.606606606606606480e-01,1.036482248402665451e+00,1.568251681631999961e-01
6.706706706706706544e-01,1.010851839895994919e+00,1.595008447287294684e-01
6.806806806806806609e-01,9.850517767102261457e-01,1.621815180617968144e-01
6.906906906906906674e-01,9.590905173686007368e-01,1.648671238019498442e-01
7.007007007007006738e-01,9.329765615931614464e-01,1.675575993394374796e-01
7.107107107107106803e-01,9.067184470890699011e-01,1.702528837432313868e-01
7.207207207207206867e-01,8.803247463160285280e-01,1.729529176929802126e-01
7.307307307307306932e-01,8.538040632480801140e-01,1.756576434146296384e-01
7.407407407407406996e-01,8.271650301230627500e-01,1.783670046194636150e-01
7.507507507507507061e-01,8.004163041830061331e-01,1.810809464463407625e-01
7.607607607607607125e-01,7.735665644067523106e-01,1.837994154069181874e-01
7.707707707707707190e-01,7.466245082360926100e-01,1.865223593336708396e-01
7.807807807807807254e-01,7.195988482967115019e-01,1.892497273305294991e-01
7.907907907907907319e-01,6.924983091152304704e-01,1.919814697259731862e-01
8.008008008008007383e-01,6.653316238336468569e-01,1.947175380284245638e-01
8.108108108108108558e-01,6.381075309224639724e-01,1.974578848838080269e-01
8.208208208208208623e-01,6.108347708938091092e-01,2.002024640351397489e-01
8.308308308308308687e-01,5.835220830158308614e-01,2.029512302840294213e-01
8.408408408408408752e-01,5.561782020296777151e-01,2.057041394539806112e-01
8.508508508508508816e-01,5.288118548703464317e-01,2.084611483553858446e-01
8.608608608608608881e-01,5.014317573926934113e-01,2.112222147521185533e-01
8.708708708708708945e-01,4.740466111039005059e-01,2.139872973296320091e-01
8.808808808808809010e-01,4.466650999036798630e-01,2.167563556644798717e-01
8.908908908908909074e-01,4.192958868335036060e-01,2.195293501951804671e-01
9.009009009009009139e-01,3.919476108361364397e-01,2.223062421943501898e-01
9.109109109109109204e-01,3.646288835267482709e-01,2.250869937420379996e-01
9.209209209209209268e-01,3.373482859768762165e-01,2.278715677001961759e-01
9.309309309309309333e-01,3.101143655125020437e-01,2.306599276882271288e-01
9.409409409409409397e-01,2.829356325275049211e-01,2.334520380595501432e-01
9.509509509509509462e-01,2.558205573137415922e-01,2.362478638791344621e-01
9.609609609609609526e-01,2.287775669090011399e-01,2.390473709019498849e-01
9.709709709709709591e-01,2.018150419640731830e-01,2.418505255522875319e-01
9.809809809809809655e-01,1.749413136301603000e-01,2.446572949039075018e-01
9.909909909909909720e-01,1.481646604678582557e-01,2.474676466609720960e-01
1.001001001001001089e+00,1.214933053789162276e-01,2.502815491397256675e-01
1.011011011011011096e+00,9.493541256198551048e-02,2.530989712508850964e-01
1.021021021021021102e+00,6.849908449354535911e-02,2.559198824827063068e-01
1.031031031031031109e+00,4.219235893519790448e-02,2.587442528846946588e-01
1.041041041041041115e+00,1.602320596850026480e-02,2.615720530519280995e-01
1.051051051051051122e+00,-1.000047494149980398e-02,2.644032541099655687e-01
1.061061061061061128e+00,-3.587085785287569273e-02,2.672378277003120695e-01
1.071071071071071135e+00,-6.158019322244212557e-02,2.700757459664159255e-01
1.081081081081081141e+00,-8.712081074925503987e-02,2.729169815401732424e-01
1.091091091091091148e+00,-1.124851221848819360e-01,2.757615075289167605e-01
1.101101101101101154e+00,-1.376656241093381916e-01,2.786092975028680585e-01
1.111111111111111160e+00,-1.626549006716068724e-01,2.814603254830314039e-01
1.121121121121121167e+00,-1.874456262936694539e-01,2.843145659295110983e-01
1.131131131131131173e+00,-2.120305683369889671e-01,2.871719937302328884e-01
1.141141141141141180e+00,-2.364025897304065649e-01,2.900325841900526225e-01
1.151151151151151186e+00,-2.605546515584233336e-01,2.928963130202349996e-01
1.161161161161161193e+00,-2.844798156088577112e-01,2.957631563282876463e-01
1.171171171171171199e+00,-3.081712468788864179e-01,2.986330906081342551e-01
1.181181181181181206e+00,-3.316222160384889039e-01,3.015060927306140171e-01
1.191191191191191212e+00,-3.548261018503390818e-01,3.043821399342929168e-01
1.201201201201201219e+00,-3.777763935451997068e-01,3.072612098165745098e-01
1.211211211211211225e+00,-4.004666931518966466e-01,3.101432803250976367e-01
1.221221221221221231e+00,-4.228907177809665408e-01,3.130283297494104167e-01
1.231231231231231238e+00,-4.450423018610906722e-01,3.159163367129081412e-01
1.241241241241241244e+00,-4.669153993274483549e-01,3.188072801650256860e-01
1.251251251251251251e+00,-4.885040857611385179e-01,3.217011393736740610e-01
1.261261261261261257e+00,-5.098025604788423149e-01,3.245978939179113287e-01
1.271271271271271264e+00,-5.308051485719185170e-01,3.274975236808393975e-01
1.281281281281281270e+00,-5.515063028941400436e-01,3.304000088427171411e-01
1.291291291291291277e+00,-5.719006059973068545e-01,3.333053298742827408e-01
1.301301301301301283e+00,-5.919827720139865246e-01,3.362134675302762554e-01
1.311311311311311290e+00,-6.117476484866577469e-01,3.391244028431554258e-01
1.321321321321321296e+00,-6.311902181425514957e-01,3.420381171169979417e-01
1.331331331331331302e+00,-6.503056006135089495e-01,3.449545919215820100e-01
1.341341341341341309e+00,-6.690890541001944802e-01,3.478738090866401733e-01
1.351351351351351315e+00,-6.875359769800279963e-01,3.507957506962789962e-01
1.361361361361361322e+00,-7.056419093582195767e-01,3.537203990835591783e-01
1.371371371371371328e+00,-7.234025345613152025e-01,3.566477368252300439e-01
1.381381381381381335e+00,-7.408136805726840413e-01,3.595777467366133018e-01
1.391391391391391341e+00,-7.578713214094014994e-01,3.625104118666301334e-01
1.401401401401401348e+00,-7.745715784400064585e-01,3.654457154929672824e-01
1.411411411411411354e+00,-7.909107216426327636e-01,3.683836411173769809e-01
1.421421421421421361e+00,-8.068851708030420067e-01,3.713241724611059391e-01
1.431431431431431367e+00,-8.224914966521060800e-01,3.742672934604494572e-01
1.441441441441441373e+00,-8.377264219423138369e-01,3.772129882624255526e-01
1.451451451451451380e+00,-8.525868224629004066e-01,3.801612412205661040e-01
1.461461461461461386e+00,-8.670697279932215729e-01,3.831120368908201845e-01
1.471471471471471393e+00,-8.811723231940220558e-01,3.860653600275662511e-01
1.481481481481481399e+00,-8.948919484362698462e-01,3.890211955797296395e-01
1.491491491491491406e+00,-9.082261005672539467e-01,3.919795286870014217e-01
1.501501501501501412e+00,-9.211724336136694058e-01,3.949403446761560743e-01
1.511511511511511419e+00,-9.337287594214377373e-01,3.979036290574640145e-01
1.521521521521521425e+00,-9.458930482320359046e-01,4.008693675211963403e-01
1.531531531531531432e+00,-9.576634291951338085e-01,4.038375459342187779e-01
1.541541541541541438e+00,-9.690381908173636427e-01,4.068081503366716700e-01
1.551551551551551444e+00,-9.800157813470734558e-01,4.097811669387340094e-01
1.561561561561561451e+00,-9.905948090949383555e-01,4.127565821174679628e-01
1.571571571571571457e+00,-1.000774042690333987e+00,4.157343824137418875e-01
1.581581581581581464e+00,-1.010552411273396123e+00,4.187145545292296767e-01
1.591591591591591470e+00,-1.019929004622724289e+00,4.216970853234832117e-01
1.601601601601601477e+00,-1.028903073218703002e+00,4.246819618110767025e-01
1.611611611611611705e+00,-1.037474028242450386e+00,4.276691711588198608e-01
1.621621621621621712e+00,-1.045641441510420933e+00,4.306587006830379094e-01
1.631631631631631718e+00,-1.053405045344722346e+00,4.336505378469177607e-01
1.641641641641641725e+00,-1.060764732379225528e+00,4.366446702579160899e-01
1.651651651651651731e+00,-1.067720555301576724e+00,4.396410856652293031e-01
1.661661661661661737e+00,-1.074272726531246613e+00,4.426397719573229583e-01
1.671671671671671744e+00,-1.080421617833773773e+00,4.456407171595185845e-01
1.681681681681681750e+00,-1.086167759871388139e+00,4.486439094316367338e-01
1.691691691691691757e+00,-1.091511841690223639e+00,4.516493370656944895e-01
1.701701701701701763e+00,-1.096454710144358247e+00,4.546569884836554332e-01
1.711711711711711770e+00,-1.100997369256938363e+00,4.576668522352314583e-01
1.721721721721721776e+00,-1.105140979518677291e+00,4.606789169957339336e-01
1.731731731731731783e+00,-1.108886857124036673e+00,4.636931715639733831e-01
1.741741741741741789e+00,-1.112236473145427285e+00,4.667096048602066838e-01
1.751751751751751796e+00,-1.115191452645791337e+00,4.697282059241292274e-01
1.761761761761761802e+00,-1.117753573729949990e+00,4.727489639129122678e-01
1.771771771771771808e+00,-1.119924766535127514e+00,4.757718680992830684e-01
1.781781781781781815e+00,-1.121707112161085540e+00,4.787969078696471814e-01
1.791791791791791821e+00,-1.123102841540325469e+00,4.818240727222518616e-01
1.801801801801801828e+00,-1.124114334248844438e+00,4.848533522653889483e-01
1.811811811811811834e+00,-1.124744117257945542e+00,4.878847362156363276e-01
1.821821821821821841e+00,-1.124994863627638786e+00,4.909182143961378086e-01
1.831831831831831847e+00,-1.124869391142179875e+00,4.939537767349186370e-01
1.841841841841841854e+00,-1.124370660888325935e+00,4.969914132632373693e-01
1.851851851851851860e+00,-1.123501775776908795e+00,5.000311141139722748e-01
1.861861861861861867e+00,-1.122265979008343795e+00,5.030728695200417100e-01
1.871871871871871873e+00,-1.120666652482720682e+00,5.061166698128567454e-01
1.881881881881881879e+00,-1.118707315155143434e+00,5.091625054208068768e-01
1.891891891891891886e+00,-1.116391621337004869e+00,5.122103668677763233e-01
1.901901901901901892e+00,-1.113723358943908170e+00,5.152602447716907452e-01
1.911911911911911899e+00,-1.110706447690964049e+00,5.183121298430937163e-01
1.921921921921921905e+00,-1.107344937236217186e+00,5.213660128837525054e-01
1.931931931931931912e+00,-1.103643005272975541e+00,5.244218847852912813e-01
1.941941941941941918e+00,-1.099604955571831910e+00,5.274797365278520722e-01
1.951951951951951925e+00,-1.095235215973195064e+00,5.305395591787828158e-01
1.961961961961961931e+00,-1.090538336331160929e+00,5.336013438913509432e-01
1.971971971971971938e+00,-1.085518986409576669e+00,5.366650819034828324e-01
1.981981981981981944e+00,-1.080181953731168543e+00,5.397307645365275741e-01
1.991991991991991950e+00,-1.074532141380625916e+00,5.427983831940457193e-01
2.002002002002002179e+00,-1.068574565762544948e+00,5.458679293606210070e-01
2.012012012012012185e+00,-1.062314354315164966e+00,5.489393946006946301e-01
2.022022022022022192e+00,-1.055756743180833679e+00,5.520127705574238153e-01
2.032032032032032198e+00,-1.048907074834170228e+00,5.550880489515601646e-01
2.042042042042042205e+00,-1.041770795668897520e+00,5.581652215803505346e-01
2.052052052052052211e+00,-1.034353453544342383e+00,5.612442803164591210e-01
2.062062062062062218e+00,-1.026660695292614056e+00,5.643252171069088607e-01
