ID, Wiek
1,76
2,39
3,0
4,38
5,58
6,0
7,23
8,57
9,44
10,26
11,45
12,62
13,26
14,0
15,44
16,18
17,4
18,49
19,23
20,61
21,19
22,41
23,66
24,67
25,76
26,7
27,17
28,17
29,67
30,51
31,4
32,64
33,51
34,49
35,55
36,38
37,61
38,100
39,44
40,39
41,40
42,84
43,53
44,93
45,31
46,69
47,4
48,85
49,38
50,19
51,38
52,27
53,3
54,31
55,47
56,54
57,35
58,55
59,62
60,0
61,56
62,64
63,45
64,30
65,33
66,43
67,29
68,17
69,59
70,52
71,15
72,64
73,61
74,74
75,48
76,42
77,41
78,48
79,29
80,33
81,32
82,49
83,0
84,13
85,28
86,46
87,15
88,47
89,49
90,45
91,39
92,37
93,11
94,75
95,35
96,39
97,36
98,74
99,75
100,44
101,64
102,31
103,56
104,56
105,50
106,52
107,24
108,63
109,20
110,25
111,30
112,0
113,37
114,65
115,0
116,5
117,18
118,28
119,9
120,64
121,39
122,47
123,0
124,41
125,52
126,76
127,12
128,42
129,54
130,52
131,57
132,49
133,35
134,59
135,47
136,18
137,26
138,45
139,51
140,19
141,55
142,2
143,24
144,13
145,50
146,31
147,54
148,54
149,63
150,29
151,23
152,28
153,32
154,29
155,44
156,56
157,52
158,37
159,53
160,18
161,52
162,32
163,46
164,17
165,50
166,60
167,42
168,29
169,28
170,48
171,45
172,56
173,44
174,40
175,66
176,0
177,9
178,41
179,65
180,35
181,31
182,51
183,39
184,56
185,39
186,26
187,20
188,20
189,20
190,16
191,9
192,33
193,70
194,41
195,29
196,39
197,25
198,55
199,43
200,60
201,56
202,54
203,38
204,36
205,40
206,56
207,20
208,44
209,64
210,21
211,71
212,48
213,25
214,0
215,3
216,17
217,57
218,29
219,21
220,5
221,47
222,26
223,45
224,31
225,65
226,34
227,54
228,32
229,29
230,69
231,59
232,19
233,43
234,42
235,4
236,43
237,20
238,40
239,23
240,60
241,53
242,0
243,40
244,35
245,45
246,38
247,10
248,1
249,24
250,28
251,63
252,15
253,32
254,86
255,71
256,8
257,74
258,31
259,29
260,47
261,49
262,69
263,50
264,14
265,19
266,47
267,21
268,51
269,50
270,55
271,26
272,44
273,26
274,35
275,34
276,59
277,4
278,25
279,16
280,9
281,62
282,9
283,53
284,50
285,55
286,54
287,41
288,22
289,28
290,55
291,33
292,44
293,30
294,79
295,41
296,44
297,60
298,61
299,78
300,56
301,52
302,36
303,29
304,59
305,6
306,69
307,46
308,40
309,4
310,62
311,41
312,54
313,91
314,67
315,1
316,29
317,24
318,36
319,3
320,2
321,48
322,60
323,38
324,37
325,48
326,32
327,81
328,62
329,28
330,47
331,41
332,43
333,76
334,88
335,53
336,31
337,44
338,63
339,33
340,78
341,49
342,29
343,52
344,64
345,48
346,37
347,48
348,27
349,46
350,30
351,52
352,29
353,54
354,46
355,71
356,37
357,9
358,0
359,47
360,75
361,47
362,17
