Seria 1, Seria 2, Seria 3, Seria 4
%, %, %, %
2.201602003426663856e+01,2.087577862459011868e+01,2.714106341445993209e+01,2.140975285955850183e+01
1.330620695956646671e+01,2.735043444858553130e+01,2.523093162294045300e+01,2.283243229191199219e+01
2.070753649559778253e+00,3.304803141526090826e+01,2.823195984466454789e+01,4.636060914677851486e+01
3.930060243320149027e+00,1.405469591832264875e+01,2.704012569721860615e+01,4.041830525426938436e+01
6.875329048899744500e+00,1.724578089739296871e+01,2.584303384265542647e+01,3.465334672813874306e+01
1.070736417462512335e+01,3.429469105001949458e+01,2.549046307033116321e+01,1.835369024188859655e+01
8.567416143144349405e+00,2.040119600730731975e+01,2.551003018731199035e+01,2.393565922760255660e+01
2.096556430158467066e+01,2.467143260932863313e+01,2.623633487556740462e+01,3.729558621025296361e+01
2.124749645189263703e+01,2.893984312615197041e+01,2.653595941063102615e+01,2.142287550218289738e+01
2.275676600937246263e+01,3.055427580659375764e+01,2.889860046448961839e+01,2.639506736945220666e+01
1.405582859842942334e+01,2.554316751969464150e+01,2.531617544420294408e+01,2.518961077139411131e+01
7.081026222576777940e+00,2.344531848713620903e+01,2.753478007090420476e+01,1.886206058966423882e+01
1.162816839758944987e+01,2.462864445848363815e+01,2.913477962247656450e+01,3.733868498022936677e+01
2.590856750633063754e+00,1.387642780177493762e+01,2.554259489850868547e+01,2.188208787794543753e+01
1.017329579903568693e+01,2.666416197104779684e+01,2.956827868894009015e+01,4.110757653124428401e+01
1.055743462646064401e+01,1.694618724160132572e+01,2.751926028307856242e+01,3.246649403278137669e+01
1.523242584462044036e+01,2.848481271192365227e+01,2.778727834438996425e+01,2.220025287577726658e+01
9.707650904865194885e-01,3.366466776296923058e+01,2.613115780951979872e+01,2.097619894961512443e+01
1.763468862794402270e+01,2.551362869666119337e+01,3.030762609093119408e+01,4.287496483353820054e+01
8.860066786482251544e+00,2.543049825859127466e+01,2.683319339043900342e+01,4.426845478929401168e+01
2.475235065808037405e+01,1.738158438543693762e+01,2.523711998989066529e+01,1.924212477368908480e+01
2.419915714263124329e+01,1.852745956687489226e+01,2.761260094633384199e+01,2.794947324493337604e+01
1.741684149569040940e+01,2.299336809213737354e+01,2.680392986859888538e+01,3.998431871925570391e+01
2.049864500811369439e+01,3.558963939318407910e+01,2.714992685239699810e+01,1.491391488460769565e+01
1.842713517282451718e+01,2.918930729598687179e+01,2.521968323967072578e+01,3.968592942496821507e+01
1.644758100691476432e+00,2.865555149925639000e+01,2.602174981603442916e+01,3.494014244187390972e+01
2.190292908865571775e+01,2.566252384228054950e+01,2.965953085504505893e+01,3.921287285840777770e+01
2.032491639684394613e+01,2.528445615490906917e+01,2.649453204081160251e+01,2.988654059666209406e+01
5.984645462455451259e+00,2.764252141258951667e+01,2.813612434002394025e+01,2.183638134748503035e+01
1.545273544748798145e+01,2.090792502792868390e+01,2.741070580106155674e+01,3.151105610834363091e+01
1.050953030999365012e+01,1.772306614722656093e+01,2.691300418857910515e+01,4.127797064551106132e+01
2.506405685789489635e+00,3.179832413734423824e+01,2.930980263762245386e+01,3.248874671588358609e+01
