# Potega x, wspolczynnik
0.000000000000000000e+00,1.879903778652057378e+00
1.000000000000000000e+00,-9.911813099140937000e-01
2.000000000000000000e+00,-8.529585838652025132e+00
3.000000000000000000e+00,-1.711026679790448091e+00
4.000000000000000000e+00,4.831785081019131844e+00
5.000000000000000000e+00,5.675700403098755675e-01
6.000000000000000000e+00,-9.951860896757986907e-01
7.000000000000000000e+00,1.594777869855001570e-02
8.000000000000000000e+00,7.212159421115078850e-02
9.000000000000000000e+00,-9.460444238278931453e-03
